id	member_1	member_2	member_3	member_4	member_5	member_6	member_7	member_8	member_9	member_10
S001	S097	S072	S010	S062	S042	S095	S069	S011	S021	S083
S002	S076	S041	S036	S063	S082	S018	S042	S047	S055	S089
S003	S067	S072	S026	S045	S035	S017	S059	S090	S096	S008
S004	S094	S041	S072	S033	S064	S069	S036	S091	S015	S087
S005	S071	S082	S022	S064	S090	S063	S043	S017	S053	S031
S006	S064	S027	S001	S021	S023	S015	S061	S081	S100	S080
S007	S025	S066	S053	S004	S044	S015	S048	S047	S012	S099
S008	S035	S058	S029	S097	S100	S074	S052	S043	S023	S003
S009	S078	S041	S067	S050	S084	S028	S054	S099	S063	S013
S010	S017	S089	S051	S094	S009	S068	S066	S070	S045	S072
S011	S034	S063	S009	S013	S059	S057	S092	S097	S099	S035
S012	S072	S028	S067	S096	S008	S010	S044	S075	S025	S046
S013	S049	S071	S067	S044	S100	S051	S002	S018	S074	S081
S014	S039	S066	S004	S018	S033	S016	S019	S048	S069	S073
S015	S056	S016	S003	S049	S058	S033	S099	S042	S094	S029
S016	S054	S046	S055	S034	S027	S086	S015	S052	S094	S078
S017	S100	S031	S050	S013	S053	S065	S067	S012	S011	S029
S018	S023	S084	S032	S094	S014	S090	S098	S055	S004	S038
S019	S054	S048	S005	S090	S095	S057	S018	S016	S025	S085
S020	S050	S046	S022	S003	S077	S082	S035	S084	S011	S032
S021	S099	S016	S024	S001	S012	S007	S003	S089	S087	S082
S022	S050	S093	S031	S073	S049	S094	S044	S015	S092	S029
S023	S087	S066	S086	S048	S020	S074	S057	S081	S042	S028
S024	S092	S066	S008	S085	S051	S013	S048	S038	S030	S033
S025	S014	S079	S010	S042	S001	S069	S073	S097	S096	S059
S026	S072	S079	S047	S081	S025	S080	S029	S011	S063	S002
S027	S028	S065	S087	S036	S042	S097	S039	S096	S089	S011
S028	S036	S047	S089	S083	S007	S075	S059	S020	S010	S015
S029	S003	S071	S094	S044	S011	S055	S015	S053	S006	S026
S030	S093	S031	S085	S055	S071	S078	S086	S077	S049	S037
S031	S005	S039	S090	S037	S001	S026	S089	S011	S052	S087
S032	S023	S074	S058	S085	S094	S077	S099	S064	S031	S078
S033	S025	S067	S038	S075	S078	S027	S064	S045	S080	S089
S034	S070	S035	S024	S047	S038	S043	S031	S069	S018	S093
S035	S020	S056	S047	S054	S080	S050	S090	S043	S063	S098
S036	S013	S047	S081	S100	S060	S010	S087	S064	S092	S063
S037	S057	S097	S074	S093	S079	S095	S043	S076	S039	S016
S038	S074	S055	S016	S047	S012	S053	S001	S046	S099	S067
S039	S078	S009	S094	S074	S065	S073	S069	S011	S048	S043
S040	S052	S035	S016	S097	S031	S025	S075	S098	S070	S059
S041	S094	S089	S048	S052	S034	S038	S076	S016	S014	S060
S042	S004	S069	S058	S081	S060	S095	S047	S012	S055	S078
S043	S089	S077	S002	S011	S041	S050	S072	S029	S055	S094
S044	S003	S013	S064	S069	S093	S097	S062	S010	S098	S009
S045	S100	S002	S001	S086	S004	S064	S028	S089	S074	S019
S046	S023	S077	S099	S093	S006	S078	S064	S085	S012	S091
S047	S071	S053	S051	S061	S016	S084	S046	S064	S009	S044
S048	S022	S049	S061	S090	S001	S070	S058	S007	S006	S005
S049	S034	S056	S076	S058	S063	S043	S025	S087	S091	S053
S050	S024	S045	S061	S016	S070	S015	S064	S042	S051	S090
S051	S097	S063	S009	S075	S058	S060	S041	S039	S040	S028
S052	S010	S004	S028	S095	S039	S022	S045	S058	S035	S015
S053	S062	S073	S032	S023	S099	S052	S041	S051	S019	S036
S054	S068	S024	S048	S025	S039	S031	S051	S084	S046	S077
S055	S099	S053	S031	S026	S072	S046	S017	S032	S007	S075
S056	S095	S049	S014	S098	S064	S022	S057	S036	S012	S008
